"label"	"file"	"line"	"pattern"	"text"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"2368"	"missing_flag"	"if has_missing_flag(smoke_rows):"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"2369"	"missing_flag"	"report.fail(""Placeholder detected (smoke missing_flag=1). Scenarios not computed."")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"2387"	"missing_flag"	"if has_missing_flag(pop_rows):"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"2388"	"missing_flag"	"report.fail(""Placeholder detected (pop missing_flag=1). Scenarios not computed."")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"3086"	"missing_flag"	"if has_missing_flag(smoke_rows):"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"3087"	"missing_flag"	"report.fail(""smoke_days has missing_flag=1; placeholder detected"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"3105"	"missing_flag"	"if has_missing_flag(pop_rows):"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"3106"	"missing_flag"	"report.fail(""pop table has missing_flag=1; placeholder detected"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"3109"	"missing_flag"	"if has_missing_flag(rec_rows):"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"3110"	"missing_flag"	"report.fail(""recurrence table has missing_flag=1; placeholder detected"")"
